date,open,close,Name
2015-05-05,78.55,77.56,FB
2015-05-06,77.97,78.1,FB
2015-05-07,78.0,78.425,FB
2015-05-08,79.1,78.51,FB
2015-05-11,78.48,78.01,FB
2015-05-12,77.87,77.46,FB
2015-05-13,77.72,78.44,FB
2015-05-14,78.94,81.37,FB
2015-05-15,81.41,80.42,FB
2015-05-18,80.33,80.88,FB
2015-05-19,81.25,80.63,FB
2015-05-20,80.47,80.55,FB
2015-05-21,80.19,80.48,FB
2015-05-22,80.35,80.54,FB
2015-05-26,80.43,79.335,FB
2015-05-27,79.6,80.55,FB
2015-05-28,80.25,80.145,FB
2015-05-29,79.95,79.19,FB
2015-06-01,79.3,80.29,FB
2015-06-02,79.76,80.445,FB
2015-06-03,81.35,82.44,FB
2015-06-04,82.14,82.05,FB
2015-06-05,81.87,82.14,FB
2015-06-08,81.82,80.67,FB
2015-06-09,80.6,80.67,FB
2015-06-10,80.83,82.16,FB
2015-06-11,82.31,81.83,FB
2015-06-12,81.37,81.53,FB
2015-06-15,80.55,80.71,FB
2015-06-16,80.82,81.06,FB
2015-06-17,81.76,81.79,FB
2015-06-18,81.64,82.905,FB
2015-06-19,82.83,82.51,FB
2015-06-22,83.41,84.74,FB
2015-06-23,84.96,87.88,FB
2015-06-24,87.66,88.86,FB
2015-06-25,89.26,87.98,FB
2015-06-26,88.12,88.01,FB
2015-06-29,86.61,85.8,FB
2015-06-30,86.6,85.765,FB
2015-07-01,86.77,86.91,FB
2015-07-02,87.4,87.285,FB
2015-07-06,86.49,87.55,FB
2015-07-07,87.8,87.22,FB
2015-07-08,86.29,85.65,FB
2015-07-09,86.73,85.88,FB
2015-07-10,87.35,87.95,FB
2015-07-13,88.66,90.1,FB
2015-07-14,90.46,89.68,FB
2015-07-15,90.0,89.76,FB
2015-07-16,90.28,90.85,FB
2015-07-17,92.55,94.97,FB
2015-07-20,95.85,97.91,FB
2015-07-21,98.95,98.39,FB
2015-07-22,96.74,97.04,FB
2015-07-23,96.96,95.44,FB
2015-07-24,97.35,96.95,FB
2015-07-27,96.58,94.17,FB
2015-07-28,94.84,95.29,FB
2015-07-29,96.32,96.99,FB
2015-07-30,94.91,95.21,FB
2015-07-31,94.95,94.01,FB
2015-08-03,93.53,94.14,FB
2015-08-04,93.79,94.06,FB
2015-08-05,95.25,96.44,FB
2015-08-06,97.18,95.12,FB
2015-08-07,95.38,94.3,FB
2015-08-10,95.68,94.15,FB
2015-08-11,93.73,93.62,FB
2015-08-12,92.7,94.19,FB
2015-08-13,94.05,93.43,FB
